S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
55,2021-10-04,536,90673.00,45044503.50,505.00,488.00,498.00
56,2021-10-03,756,122633.00,61482539.30,506.00,496.50,498.00
57,2021-09-30,687,102748.00,52185870.00,520.20,500.00,504.00
58,2021-09-29,803,121614.00,61476303.90,511.00,494.00,510.00
59,2021-09-28,997,182729.00,91213887.50,510.00,492.00,499.00
60,2021-09-27,997,159371.00,80658476.00,518.00,500.80,507.00
61,2021-09-26,1773,302896.00,157809123.50,532.00,515.00,518.00
62,2021-09-23,4089,638916.00,341583972.10,549.00,520.20,528.40
63,2021-09-22,932,245062.00,121746849.60,510.00,478.10,510.00
64,2021-09-21,918,120962.00,56940442.90,484.00,455.00,470.00
65,2021-09-20,1025,172577.00,81666280.20,489.00,468.60,468.60
66,2021-09-16,929,135986.00,65924443.70,495.00,480.60,481.30
67,2021-09-15,458,79000.00,39258339.40,502.00,493.00,497.00
68,2021-09-14,425,90104.00,45514312.10,511.90,501.00,502.00
69,2021-09-13,595,84252.00,42659782.60,512.00,500.00,506.90
70,2021-09-12,688,100465.00,50111469.40,505.00,489.00,504.00
71,2021-09-09,726,106852.00,52422873.60,499.00,486.00,491.00
72,2021-09-08,666,113583.00,55642767.20,507.90,485.00,490.30
73,2021-09-07,796,130062.00,65168370.40,517.00,495.40,498.00
74,2021-09-06,973,163012.00,81700028.20,517.00,481.00,511.00
75,2021-09-05,1159,234517.00,114579636.90,505.00,480.00,490.00
76,2021-09-02,903,146789.00,73442185.60,516.10,494.10,498.00
77,2021-09-01,1054,202887.00,102594964.70,516.00,498.00,506.00
78,2021-08-31,893,187793.00,95470586.60,518.00,503.10,507.00
79,2021-08-29,1085,203354.00,105540540.10,533.00,514.00,518.00
80,2021-08-26,694,112130.00,58581073.80,527.00,518.00,522.00
81,2021-08-25,561,91720.00,48175721.50,530.00,521.00,524.90
82,2021-08-24,840,174989.00,93286615.80,546.00,525.00,530.00
83,2021-08-19,576,99845.00,53694931.10,545.00,534.10,535.50
84,2021-08-18,806,174754.00,93688562.40,546.00,525.00,538.00
85,2021-08-17,718,157313.00,84021705.50,540.00,530.00,534.90
86,2021-08-16,636,120528.00,65283445.00,552.00,537.20,540.00
87,2021-08-15,1069,228190.00,124389799.40,555.00,537.50,542.00
88,2021-08-12,659,123043.00,67400984.80,553.80,537.00,547.60
89,2021-08-11,484,105063.00,57711903.60,557.00,545.00,546.80
90,2021-08-10,769,136076.00,74389889.70,555.00,535.00,549.00
91,2021-08-09,494,92182.00,49641979.10,549.00,535.10,540.00
92,2021-08-08,458,70379.00,38236959.00,552.00,539.00,544.00
93,2021-08-05,561,106591.00,57967637.00,547.00,536.60,545.40
94,2021-08-04,560,103379.00,55702375.60,542.00,534.00,540.10
95,2021-08-03,420,63210.00,33830755.90,545.00,532.00,538.00
96,2021-08-02,476,86379.00,46212567.40,540.00,532.00,536.00
97,2021-08-01,559,110657.00,59404766.20,541.00,532.00,534.60
98,2021-07-29,552,99302.00,53455581.00,542.10,534.00,536.00
99,2021-07-28,647,128103.00,68973471.60,554.80,535.20,539.00
100,2021-07-27,1530,333567.00,178794930.50,547.00,525.00,544.00
101,2021-07-26,1826,421642.00,230888198.50,564.90,540.30,544.00
102,2021-07-25,1532,394193.00,218478328.50,563.00,545.20,562.90
103,2021-07-22,1501,367137.00,198261411.30,550.80,526.10,544.00
104,2021-07-20,925,223956.00,116983628.10,530.00,513.00,527.10
105,2021-07-19,1599,402446.00,210511195.20,532.50,514.00,519.00
106,2021-07-18,1884,443763.00,225828250.00,520.00,493.00,515.00
107,2021-07-15,393,138840.00,67007718.00,489.00,477.00,485.00
108,2021-07-14,493,110281.00,53304859.00,492.00,480.00,483.00
109,2021-07-13,399,72289.00,35101220.00,489.00,480.00,488.00
110,2021-07-12,841,166616.00,81112216.00,496.00,479.00,482.00
111,2021-07-11,699,156924.00,76275172.00,490.00,478.00,489.00
112,2021-07-08,411,128759.00,61024562.00,478.00,467.00,477.00
113,2021-07-07,449,83092.00,39127911.00,475.00,469.00,470.00
114,2021-07-06,398,68185.00,32170869.00,474.00,467.00,472.00
115,2021-07-05,484,97959.00,46003318.00,475.00,466.00,468.00
116,2021-07-04,494,85171.00,40107522.00,478.00,469.00,470.00
117,2021-07-01,443,103634.00,48984781.00,479.00,470.00,472.00
118,2021-06-30,552,108922.00,51058304.00,476.00,465.00,470.00
119,2021-06-29,521,95997.00,45607071.00,488.00,471.00,474.00
120,2021-06-28,691,122358.00,59242484.00,489.00,479.00,480.00
121,2021-06-27,880,180637.00,86064808.00,492.00,463.00,479.00
122,2021-06-24,714,167151.00,78274993.00,473.00,465.00,469.00
123,2021-06-23,765,146612.00,69961591.00,493.00,470.00,472.00
124,2021-06-22,1110,210521.00,100169566.00,486.00,460.00,485.00
125,2021-06-21,1493,300190.00,141188357.00,488.00,465.00,467.00
126,2021-06-20,1205,252182.00,121294412.00,496.00,475.00,480.00
127,2021-06-17,735,146256.00,71807209.00,501.00,485.00,490.00
128,2021-06-16,1143,257288.00,127869608.00,508.00,487.00,492.00
129,2021-06-15,1618,388751.00,195619119.00,512.00,495.00,498.00
130,2021-06-14,1345,358350.00,177584459.00,503.00,480.00,498.00
131,2021-06-13,975,220814.00,105167019.00,481.00,474.00,479.00
132,2021-06-10,1035,247600.00,117845798.00,485.00,470.00,474.00
133,2021-06-09,1042,192759.00,93041178.00,493.00,477.00,479.00
134,2021-06-08,1092,316013.00,153127655.00,491.00,476.00,486.00
135,2021-06-07,1699,374620.00,180230888.00,498.00,475.00,479.00
136,2021-06-06,2348,506918.00,246251048.00,497.00,473.00,490.00
137,2021-06-03,1713,557072.00,256259378.00,470.00,445.00,468.00
138,2021-06-02,606,159780.00,70966180.00,455.00,435.00,446.00
139,2021-06-01,892,192795.00,84813879.00,455.00,435.00,442.00
140,2021-05-31,1346,319523.00,143553846.00,460.00,442.00,444.00
141,2021-05-30,1295,376374.00,166799977.00,457.00,435.00,447.00
142,2021-05-27,886,263378.00,112483294.00,432.00,410.00,432.00
143,2021-05-25,1045,339818.00,146600459.00,443.00,425.00,428.00
144,2021-05-24,1340,378247.00,166199740.00,444.00,433.00,437.00
145,2021-05-23,1128,251636.00,107560615.00,436.00,414.00,435.00
146,2021-05-20,681,164305.00,69519776.00,426.00,420.00,424.00
147,2021-05-19,1154,314028.00,132856204.00,430.00,418.00,418.00
148,2021-05-18,842,255896.00,106714587.00,420.00,415.00,418.00
149,2021-05-17,1325,438810.00,181867345.00,419.00,408.00,416.00
150,2021-05-16,828,240954.00,97342440.00,407.00,400.00,406.00
151,2021-05-13,464,94261.00,37628168.00,402.00,397.00,398.00
152,2021-05-12,359,100537.00,40221808.00,403.00,398.00,400.00
153,2021-05-11,432,97113.00,38920087.00,405.00,398.00,402.00
154,2021-05-10,541,159283.00,63529881.00,401.00,394.00,400.00
155,2021-05-09,642,147654.00,58633359.00,401.00,392.00,395.00
156,2021-05-06,569,119225.00,47117090.00,400.00,393.00,396.00
157,2021-05-05,511,117527.00,46554994.00,400.00,394.00,395.00
158,2021-05-04,502,90664.00,35804847.00,398.00,391.00,395.00
159,2021-05-03,1150,292782.00,117192492.00,409.00,394.00,396.00
160,2021-05-02,1610,365719.00,146388425.00,403.00,393.00,402.00
161,2021-04-29,961,252979.00,98778097.00,397.00,378.00,394.00
162,2021-04-28,784,204886.00,78290530.00,390.00,376.00,379.00
163,2021-04-27,373,101719.00,37457730.00,375.00,360.00,374.00
164,2021-04-26,457,105360.00,38338452.00,370.00,361.00,362.00
165,2021-04-25,544,119058.00,44378548.00,382.00,368.00,369.00
166,2021-04-22,346,81069.00,30652127.00,395.00,374.00,380.00
167,2021-04-21,437,109867.00,41703884.00,391.00,375.00,377.00
168,2021-04-20,364,80484.00,31163845.00,392.00,385.00,387.00
169,2021-04-19,562,179999.00,70711205.00,400.00,387.00,389.00
170,2021-04-18,923,324364.00,130852349.00,415.00,395.00,396.00
171,2021-04-15,1185,315442.00,127126777.00,414.00,397.00,400.00
172,2021-04-13,665,197915.00,77088273.00,394.00,385.00,393.00
173,2021-04-12,659,193178.00,73936421.00,385.00,378.00,384.00
174,2021-04-08,419,130696.00,49592019.00,386.00,375.00,378.00
175,2021-04-07,476,181477.00,68922251.00,385.00,370.00,379.00
176,2021-04-06,281,86908.00,32577323.00,376.00,370.00,376.00
177,2021-04-05,353,132289.00,49741836.00,382.00,373.00,375.00
178,2021-04-04,508,138282.00,52153420.00,381.00,374.00,378.00
179,2021-04-01,503,145930.00,55136522.00,382.00,375.00,376.00
180,2021-03-31,541,138033.00,51560996.00,378.00,367.00,376.00
181,2021-03-30,471,160778.00,58994457.00,370.00,358.00,369.00
182,2021-03-29,233,40275.00,14490086.00,362.00,358.00,359.00
183,2021-03-25,336,101330.00,36705592.00,367.00,360.00,360.00
184,2021-03-24,327,75669.00,27380456.00,365.00,356.00,364.00
185,2021-03-23,226,36436.00,13042068.00,360.00,356.00,356.00
186,2021-03-22,222,35065.00,12619142.00,370.00,356.00,359.00
187,2021-03-21,324,53122.00,19267228.00,367.00,354.00,365.00
188,2021-03-18,317,60472.00,21708464.00,364.00,356.00,360.00
189,2021-03-17,242,39885.00,14126205.00,358.00,350.00,356.00
190,2021-03-16,261,48670.00,17053988.00,357.00,348.00,352.00
191,2021-03-15,326,69635.00,24488696.00,360.00,347.00,350.00
192,2021-03-14,362,81663.00,28787570.00,357.00,350.00,351.00
193,2021-03-10,217,58494.00,21035194.00,364.00,355.00,359.00
194,2021-03-09,331,73368.00,26466318.00,365.00,358.00,360.00
195,2021-03-07,352,72575.00,26565672.00,377.00,363.00,364.00
196,2021-03-04,542,140969.00,51961312.00,382.00,365.00,370.00
197,2021-03-03,698,205959.00,72956432.00,377.00,345.00,364.00
198,2021-03-02,529,136420.00,48982959.00,372.00,354.00,354.00
199,2021-03-01,617,175545.00,64134938.00,372.00,358.00,368.00
200,2021-02-28,637,165028.00,60466292.00,373.00,364.00,364.00
201,2021-02-25,419,96853.00,36312517.00,381.00,371.00,373.00
