S.N.,Date,Total Transactions,Total Traded Shares,Total Traded Amount,Max. Price,Min. Price,Close Price
49,2021-10-18,36,3790.00,2892204.00,800.00,750.00,761.00
50,2021-10-17,27,1430.00,1123295.00,826.00,780.00,790.00
51,2021-10-11,35,2454.00,1944426.00,824.60,777.00,810.00
52,2021-10-10,36,2216.00,1822949.00,860.00,798.00,825.00
53,2021-10-06,47,3071.00,2623207.00,874.50,805.00,835.00
54,2021-10-05,29,1496.00,1187348.50,816.00,775.00,795.00
55,2021-10-04,51,3148.00,2375460.00,789.00,732.20,760.00
56,2021-10-03,57,4342.00,3393796.50,807.00,776.00,777.00
57,2021-09-30,65,3168.00,2641027.00,870.00,790.00,805.00
58,2021-09-29,57,3332.00,2783086.50,864.90,803.60,853.00
59,2021-09-28,99,11780.00,9321680.00,835.00,775.00,820.00
60,2021-09-27,50,1630.00,1391015.50,890.00,826.00,837.00
61,2021-09-26,54,3905.00,3493123.00,930.00,873.50,889.00
62,2021-09-23,74,6772.00,6346143.00,981.70,910.00,925.00
63,2021-09-22,78,4280.00,3962017.50,962.50,892.00,962.50
64,2021-09-21,93,4982.00,4218255.70,906.70,790.00,875.00
65,2021-09-20,99,6542.00,5847558.70,958.80,859.50,872.00
66,2021-09-16,121,6387.00,6086968.00,1019.20,936.00,955.00
67,2021-09-15,94,8188.00,8198728.50,1045.10,968.00,1040.00
68,2021-09-14,34,1999.00,1949864.00,1000.00,963.00,975.00
69,2021-09-13,32,1688.00,1678214.50,1020.60,980.00,981.00
70,2021-09-12,66,7703.00,7594231.70,1005.00,979.10,981.00
71,2021-09-09,45,3360.00,3303915.00,999.00,975.00,989.90
72,2021-09-08,58,2953.00,2920491.00,1000.00,980.00,980.00
73,2021-09-07,41,1828.00,1838893.00,1046.50,978.00,1012.00
74,2021-09-06,113,7570.00,7385316.50,1010.00,891.00,1008.00
75,2021-09-05,170,12094.00,11267867.30,980.00,901.00,920.00
76,2021-09-02,96,4255.00,4365365.50,1065.00,996.00,996.00
77,2021-09-01,243,34791.00,36662345.00,1151.00,1021.00,1065.00
78,2021-08-31,179,14609.00,15229141.00,1130.00,1001.00,1130.00
79,2021-08-29,253,17993.00,19975953.90,1155.00,1026.00,1080.00
80,2021-08-26,146,14989.00,15174029.50,1082.40,984.00,1082.40
81,2021-08-25,94,10305.00,9812964.00,984.00,933.00,984.00
82,2021-08-24,99,5154.00,4998854.00,999.00,955.00,965.00
83,2021-08-19,120,7676.00,7737728.20,1050.00,980.00,1000.00
84,2021-08-18,115,8670.00,9059579.80,1073.00,1020.00,1030.00
85,2021-08-17,128,13135.00,13968220.30,1096.50,1033.00,1052.00
86,2021-08-16,330,51014.00,52275212.30,1073.60,972.00,1073.60
87,2021-08-15,253,23063.00,22485789.80,1015.00,959.00,976.00
88,2021-08-12,220,48114.00,48183465.00,1050.00,975.10,1020.00
89,2021-08-11,288,33762.00,32901165.30,1070.00,928.00,995.00
90,2021-08-10,324,19031.00,19029367.00,1039.00,970.00,985.00
91,2021-08-09,445,41472.00,38897353.30,968.00,895.00,968.00
92,2021-08-08,350,41276.00,35475882.50,880.00,810.00,880.00
93,2021-08-05,259,25933.00,20861330.30,815.00,785.00,800.00
94,2021-08-04,102,8483.00,6561508.00,780.00,770.00,779.00
95,2021-08-03,60,6253.00,4848675.00,788.00,770.00,774.00
96,2021-08-02,76,6310.00,4895138.50,803.00,770.00,775.00
97,2021-08-01,109,7847.00,6235517.40,817.00,785.00,788.00
98,2021-07-29,150,11384.00,9014341.40,821.00,775.00,793.00
99,2021-07-28,259,19012.00,15082824.80,819.50,750.00,805.00
100,2021-07-27,109,10596.00,7894698.90,750.00,740.10,745.00
101,2021-07-26,77,5049.00,3800153.60,760.00,745.00,753.00
102,2021-07-25,87,8507.00,6409183.80,756.00,746.00,755.00
103,2021-07-22,93,6837.00,5159129.50,766.00,750.00,755.00
104,2021-07-20,55,5435.00,4112324.00,766.00,751.00,755.00
105,2021-07-19,73,4966.00,3762303.00,776.20,750.00,760.00
106,2021-07-18,96,7610.00,5774922.00,775.00,750.00,761.00
107,2021-07-15,81,4864.00,3648203.00,758.00,738.00,751.00
108,2021-07-14,65,4713.00,3542862.00,755.00,745.00,753.00
109,2021-07-13,73,8069.00,6100880.00,769.00,745.00,759.00
110,2021-07-12,182,12847.00,9711336.00,785.00,745.00,754.00
111,2021-07-11,550,41335.00,31842657.00,809.00,742.00,770.00
112,2021-07-08,199,12878.00,10494473.00,855.00,789.00,800.00
113,2021-07-07,213,13186.00,10957095.00,840.00,808.00,830.00
114,2021-07-06,323,24481.00,19730985.00,820.00,751.00,818.00
115,2021-07-05,243,17960.00,14068817.00,805.00,738.00,790.00
116,2021-07-04,426,36528.00,28170470.00,780.00,745.00,776.00
117,2021-07-01,336,27315.00,19856509.00,752.00,700.00,731.00
118,2021-06-30,94,6755.00,4668662.00,722.00,681.00,688.00
119,2021-06-29,68,5085.00,3546132.00,724.00,680.00,688.00
120,2021-06-28,94,8671.00,6077781.00,722.00,670.00,684.00
